,0,1,2
unique_key,68555060,68557159,68549835
created_date,2026-04-04 02:55:19,2026-04-04 02:54:42,2026-04-04 02:25:42
agency,DOT,DOT,DOT
agency_name,Department of Transportation,Department of Transportation,Department of Transportation
complaint_type,Street Condition,Street Condition,Street Condition
descriptor,Pothole,Pothole,Pothole
descriptor_2,,,
location_type,,,
incident_zip,11378.0,11377.0,11416.0
incident_address,,,
address_type,INTERSECTION,INTERSECTION,INTERSECTION
city,QUEENS,QUEENS,QUEENS
landmark,,,
facility_type,,,
status,Open,Closed,Open
resolution_description,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.
community_board,02 QUEENS,02 QUEENS,09 QUEENS
council_district,26.0,26.0,32.0
police_precinct,Precinct 108,Precinct 108,Precinct 102
bbl,,,
borough,QUEENS,QUEENS,QUEENS
open_data_channel_type,UNKNOWN,UNKNOWN,UNKNOWN
park_facility_name,Unspecified,Unspecified,Unspecified
vehicle_type,,,
taxi_company_borough,,,
taxi_pick_up_location,,,
bridge_highway_name,,,
bridge_highway_direction,,,
road_ramp,,,
bridge_highway_segment,,,
latitude,40.72444285430812,40.74171428915491,40.68424002310187
longitude,-73.91510543889461,-73.90633230529538,-73.84609489919268
year,2026,2026,2026
resolution_time_hours,,0.0,
